full_name,EMAIL,PHONE_NUMBER,JOB_ID
Russell.John,JRUSSEL,011.44.1344.429268,SA_MAN
Partners.Karen,KPARTNER,011.44.1344.467268,SA_MAN
Errazuriz.Alberto,AERRAZUR,011.44.1344.429278,SA_MAN
Cambrault.Gerald,GCAMBRAU,011.44.1344.619268,SA_MAN
Zlotkey.Eleni,EZLOTKEY,011.44.1344.429018,SA_MAN
Tucker.Peter,PTUCKER,011.44.1344.129268,SA_REP
Bernstein.David,DBERNSTE,011.44.1344.345268,SA_REP
Hall.Peter,PHALL,011.44.1344.478968,SA_REP
Olsen.Christopher,COLSEN,011.44.1344.498718,SA_REP
Cambrault.Nanette,NCAMBRAU,011.44.1344.987668,SA_REP
Tuvault.Oliver,OTUVAULT,011.44.1344.486508,SA_REP
King.Janette,JKING,011.44.1345.429268,SA_REP
Sully.Patrick,PSULLY,011.44.1345.929268,SA_REP
McEwen.Allan,AMCEWEN,011.44.1345.829268,SA_REP
Smith.Lindsey,LSMITH,011.44.1345.729268,SA_REP
Doran.Louise,LDORAN,011.44.1345.629268,SA_REP
Sewall.Sarath,SSEWALL,011.44.1345.529268,SA_REP
Vishney.Clara,CVISHNEY,011.44.1346.129268,SA_REP
Greene.Danielle,DGREENE,011.44.1346.229268,SA_REP
Marvins.Mattea,MMARVINS,011.44.1346.329268,SA_REP
Lee.David,DLEE,011.44.1346.529268,SA_REP
Ande.Sundar,SANDE,011.44.1346.629268,SA_REP
Banda.Amit,ABANDA,011.44.1346.729268,SA_REP
Ozer.Lisa,LOZER,011.44.1343.929268,SA_REP
Bloom.Harrison,HBLOOM,011.44.1343.829268,SA_REP
Fox.Tayler,TFOX,011.44.1343.729268,SA_REP
Smith.William,WSMITH,011.44.1343.629268,SA_REP
Bates.Elizabeth,EBATES,011.44.1343.529268,SA_REP
Kumar.Sundita,SKUMAR,011.44.1343.329268,SA_REP
Abel.Ellen,EABEL,011.44.1644.429267,SA_REP
Hutton.Alyssa,AHUTTON,011.44.1644.429266,SA_REP
Taylor.Jonathon,JTAYLOR,011.44.1644.429265,SA_REP
Livingston.Jack,JLIVINGS,011.44.1644.429264,SA_REP
Grant.Kimberely,KGRANT,011.44.1644.429263,SA_REP
Johnson.Charles,CJOHNSON,011.44.1644.429262,SA_REP
