FULL_NAME,HIRE_DATE
Steven King,17-JUN-03
Neena Kochhar,21-SEP-05
Lex De Haan,13-JAN-01
Alexander Hunold,03-JAN-06
Bruce Ernst,21-MAY-07
David Austin,25-JUN-05
Valli Pataballa,05-FEB-06
Diana Lorentz,07-FEB-07
Nancy Greenberg,17-AUG-02
Daniel Faviet,16-AUG-02
John Chen,28-SEP-05
Ismael Sciarra,30-SEP-05
Jose Manuel Urman,07-MAR-06
Luis Popp,07-DEC-07
Den Raphaely,07-DEC-02
Alexander Khoo,18-MAY-03
Shelli Baida,24-DEC-05
Sigal Tobias,24-JUL-05
Guy Himuro,15-NOV-06
Karen Colmenares,10-AUG-07
Matthew Weiss,18-JUL-04
Adam Fripp,10-APR-05
Payam Kaufling,01-MAY-03
Shanta Vollman,10-OCT-05
Kevin Mourgos,16-NOV-07
Julia Nayer,16-JUL-05
Irene Mikkilineni,28-SEP-06
James Landry,14-JAN-07
Steven Markle,08-MAR-08
Laura Bissot,20-AUG-05
Mozhe Atkinson,30-OCT-05
James Marlow,16-FEB-05
TJ Olson,10-APR-07
Jason Mallin,14-JUN-04
Michael Rogers,26-AUG-06
Ki Gee,12-DEC-07
Hazel Philtanker,06-FEB-08
Renske Ladwig,14-JUL-03
Stephen Stiles,26-OCT-05
John Seo,12-FEB-06
Joshua Patel,06-APR-06
Trenna Rajs,17-OCT-03
Curtis Davies,29-JAN-05
Randall Matos,15-MAR-06
Peter Vargas,09-JUL-06
John Russell,01-OCT-04
Karen Partners,05-JAN-05
Alberto Errazuriz,10-MAR-05
Gerald Cambrault,15-OCT-07
Eleni Zlotkey,29-JAN-08
